代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000851,百发100,14868.4908,-44.809,-0.3,14913.2996,14928.8021,15020.315,14868.4908,29079630,45009641349
sh000852,中证1000,5846.0686,-92.062,-1.55,5938.1301,5946.7291,5964.1497,5846.0686,188646200,253588513601
sh000853,CSSW丝路,1324.9433,-3.533,-0.266,1328.4763,1325.7231,1332.9251,1324.4867,19321119,60594101951
sh000854,500原料,3836.4844,9.491,0.248,3826.9938,3837.6965,3878.0653,3834.9121,22198952,18494879969
sh000855,央视500,1344.3345,-3.367,-0.25,1347.7013,1349.1382,1354.9155,1344.3345,199540793,357979176946
sh000856,500工业,5453.2298,-68.083,-1.233,5521.3129,5527.332,5545.8438,5453.2298,22376882,33214499198
sh000857,500医药,9300.4324,13.402,0.144,9287.0301,9297.7755,9407.1331,9287.7302,4638229,8967093750
sh000858,500信息,6882.9147,-190.485,-2.693,7073.3998,7090.1102,7092.484,6882.9147,15602337,44936701133
sh000860,结构调整,1127.2689,0.755,0.067,1126.5141,1128.1852,1134.7879,1127.2689,41008221,50397095500
sh000865,上海国企,1338.7778,0.804,0.06,1337.9733,1343.3116,1351.9189,1338.7778,20113607,18433383489
sh000867,港中小企,2003.4697,9.758,0.489,1993.712,1997.7626,2018.6216,1995.7009,18929670,13270902729
sh000869,HK银行,3330.9975,37.07,1.125,3293.9277,3289.2969,3341.1597,3289.2969,13090989,8934410017
sh000888,上证收益,3633.5946,-2.264,-0.062,3635.859,3640.316,3660.1895,3633.5946,387467642,450231535760
sh000891,新兴综指,1348.4878,-24.038,-1.751,1372.5261,1374.4506,1376.6785,1348.4878,331841222,591126481333
sh000901,小康指数,5743.1883,41.342,0.725,5701.8461,5715.2481,5767.6942,5715.2481,56411414,58175293601
sh000903,中证A100,3615.2384,-13.257,-0.365,3628.4949,3631.5459,3646.6285,3615.1165,61987398,141144081833
sh000905,中证500,5589.3432,-60.607,-1.073,5649.9504,5660.4848,5676.0261,5589.3432,136546056,163085841548
sh000906,中证800,4106.4027,-24.019,-0.582,4130.422,4135.6787,4150.4093,4106.4027,283216828,446025969088
sh000913,300医药,7558.2025,-2.009,-0.027,7560.2116,7573.8839,7643.3186,7558.2025,2732448,9387353615
sh000914,300金融,6082.9853,-6.063,-0.1,6089.0478,6106.9695,6151.818,6082.8366,46712402,51857684617
sh000928,中证能源,2782.424,30.339,1.102,2752.0853,2755.3816,2789.8941,2753.534,15174872,9182783378
sh000932,中证消费,15313.1614,11.054,0.072,15302.1071,15306.0024,15435.4428,15302.7054,4695617,17275041085
sh000933,中证医药,7423.4153,2.654,0.036,7420.7617,7432.3226,7507.8066,7423.4153,7370677,18354447374
