date,symbols,count
2020-05-29,"sh600056,sh600080,sh600135,sh600186,sh600200,sh600271,sh600328,sh600409,sh600513,sh600526,sh600561,sh600571,sh600664,sh600673,sh600778,sh600851,sh600877,sh600981,sh601718,sh601966,sh603063,sh603079,sh603220,sh603278,sh603367,sh603383,sh603399,sh603590,sh603660,sh603716,sh688096,sh688189,sz000078,sz000523,sz000555,sz000677,sz000766,sz000790,sz000802,sz000850,sz000949,sz000966,sz002082,sz002166,sz002230,sz002236,sz002296,sz002358,sz002462,sz002488,sz002542,sz002564,sz002644,sz002660,sz002664,sz002721,sz002912,sz300017,sz300096,sz300129,sz300147,sz300170,sz300197,sz300213,sz300234,sz300247,sz300284,sz300300,sz300369,sz300375,sz300467,sz300593",72
2020-06-01,"sh600094,sh600339,sh600512,sh600583,sh600666,sh600678,sh600688,sh600869,sh601700,sh603333,sh603516,sh603738,sz000420,sz000586,sz000590,sz000711,sz000819,sz002177,sz002300,sz002321,sz002349,sz002377,sz002427,sz002491,sz002510,sz002550,sz002565,sz002613,sz002656,sz002746,sz002907,sz002929,sz300250,sz300267,sz300323,sz300471,sz300540,sz300606",38
2020-06-02,sz300469,1
2020-06-03,sz002427,1
2020-06-04,sz002846,1
2020-06-05,"sz002912,sz300003",2
2020-06-08,"sh600094,sh603990,sz002692",3
2020-06-09,"sh600312,sh600696,sz000652,sz002838,sz002912,sz300168",6
2020-06-10,"sh603600,sz002370,sz002771,sz300030",4
2020-06-11,"sh600312,sz000652,sz002227,sz300469",4
2020-06-12,"sh601933,sh603990,sz000586,sz002676,sz002768,sz300682",6
2020-06-15,"sh603160,sz000766,sz002165,sz002175,sz002370,sz002771,sz300498,sz300586,sz300606",9
2020-06-16,"sh600089,sh600094,sh600550,sh600666,sh600725,sh601666,sh603321,sz000401,sz000586,sz000966,sz002015,sz002227,sz002796,sz300211,sz300221,sz300232,sz300440,sz300446,sz300698",19
2020-06-18,"sh600215,sh600666,sh600696,sh600725,sh603160,sh603316,sz000401,sz002629",8
2020-06-19,"sh600319,sh603032,sz000911,sz002645,sz300344",5
2020-06-22,"sz300080,sz300469,sz300586",3
2020-06-23,"sh600725,sz002175,sz002676",3
2020-06-24,"sh600215,sz000707,sz000911,sz002426,sz300344,sz300440",6
2020-06-29,"sh600217,sh600666,sh603922,sz000525,sz002015,sz002370,sz300080,sz300393",8
2020-06-30,"sh600094,sh600168,sh600335,sh600654,sh600664,sh600759,sh600844,sh600864,sh600981,sh601118,sh603316,sh603388,sz000410,sz002348,sz002520,sz002676,sz002691,sz002759,sz002771,sz300264,sz300446,sz300469,sz300586,sz300833",24
2020-07-01,"sh600078,sh600133,sh603200,sz002321,sz002637",5
2020-07-02,"sh600313,sh600319,sz002015,sz002645,sz002768,sz300469",6
2020-07-03,sh603200,1
2020-07-08,sz300220,1
2020-07-14,sh688599,1
2020-07-20,"sh603356,sh688599,sz002075,sz002796",4
2020-07-21,sh603222,1
2020-07-23,sh688599,1
2020-07-27,"sh600696,sz300731",2
2020-07-28,"sh600592,sh600599,sh603186,sh603679,sh603879,sh688015,sh688018,sh688022,sh688168,sh688388,sh688505,sz000034,sz002396,sz002596,sz002862,sz002955,sz300046,sz300232,sz300259,sz300308,sz300640,sz300679,sz300698,sz300786,sz300792",25
2020-07-29,"sz002131,sz002212,sz002916,sz300180",4
2020-07-31,sh600592,1
2020-08-03,"sh600589,sz000980",2
2020-08-05,bj835174,1
2020-08-10,"sh600538,sh688505,sz002131,sz002697",4
2020-08-11,sh688159,1
2020-08-12,"bj837212,sh688039,sh688505",3
2020-08-13,"sh600203,sh603186,sh688579,sz002291,sz002397,sz002592,sz002602,sz002723,sz002955,sz300041,sz300440,sz300476,sz300567,sz300785",14
2020-08-14,"sh603696,sh603826,sh688028,sh688159,sh688168,sz000977,sz002623,sz002697,sz002876,sz002916,sz300078,sz300144,sz300212,sz300259,sz300659,sz300731,sz300783,sz300805",18
2020-08-17,"sh600538,sh603083,sh603595,sh688099,sh688505,sz000004",6
2020-08-18,"sz002592,sz300180",2
2020-08-19,sh688321,1
2020-08-20,"bj835184,sh603083",2
2020-08-21,"sh688085,sh688358,sh688365,sh688505,sz002697,sz300180,sz300567,sz300659,sz300706",9
2020-08-24,"sh600183,sh688177,sz002212,sz002396,sz002824,sz300212,sz300404,sz300769",8
2020-08-25,"bj837212,sh688080,sh688159,sh688222,sh688233,sh688321,sh688579,sh688588,sz002131,sz300628",10
2020-08-26,"bj430418,bj834682,bj835184,sh603200,sh603839,sh688488,sz002778",7
